"task_id","status","reason","evidence_paths","reviewed_on"
"W0-001","completed","固定 fixture、30-seed pilot 与科研外推的措辞边界已分开；单次表格不再被写成统计显著性证据。","50_项目产出/P01_Mini_Scheduler/04_实验记录/FIFO_vs_Priority_vs_SJF.md;50_项目产出/P01_Mini_Scheduler/06_README草稿.md;60_科研训练/研究项目/RQ01_RAG_Agent请求调度尾延迟/03_实验记录.md","2026-07-18"
"W0-002","completed","金融路线已把结构完整、内容成熟、reference 验证、教学就绪和学习者验证拆开陈述，并与模块状态表逐项对齐。","00_路线总控/金融工程与量化金融支线路线.md;00_路线总控/看板与索引/08_学习模块建设状态表.md","2026-07-18"
"W0-003","completed","状态词典和看板已独立记录内容、实现、reference、教学就绪与学习者验证，不再自动升格。","00_路线总控/看板与索引/08_学习模块建设状态表.md;00_路线总控/审计与整改/00_整改总控.md;00_路线总控/审计与整改/tools/validate_optimization_matrix.py","2026-07-18"
"W0-004","completed","RAG 身份由服务端 Principal 提供，ACL 在候选与打分前约束，伪造身份或权限字段及跨租户访问均有负向测试。","40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/security.py;40_实验练习/E03_RAG实验/e03_rag_reference/rag_reference/retrieval.py;40_实验练习/E03_RAG实验/e03_rag_reference/tests/test_retrieval.py;50_项目产出/P03_AI_Workload_Platform/p03_service/tests/test_workflow.py","2026-07-18"
"W0-005","completed","教材与 deterministic runtime 已统一 server-owned principal、审批请求白名单、目标绑定、approval version CAS、不可变审计、过期或重复决策、resume outbox 和 stale-claim fencing；对应 reference 测试已通过。","10_学习模块/M04_Agent工作流/M04_Agent工作流_适配教材.md;40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/models.py;40_实验练习/E04_Agent实验/e04_runtime_reference/e04_runtime/repository.py;40_实验练习/E04_Agent实验/e04_runtime_reference/tests/test_approval_workflow.py;40_实验练习/E04_Agent实验/e04_runtime_reference/README.md","2026-07-18"
"W0-006","completed","SQLite reference 使用 owner、claim version 和未过期 lease 作为 finalize fencing 条件，并覆盖旧 worker complete/fail 失败路径。","40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/e06_reference/database.py;40_实验练习/E06_数据库异步任务实验/e06_sqlite_reference/tests/test_outbox.py","2026-07-18"
"W0-007","completed","P03 队列使用 Redis Streams consumer group，pending 消息可 XAUTOCLAIM 回收，只有数据库终态成功后才 ACK 和删除。","50_项目产出/P03_AI_Workload_Platform/p03_service/app/redis_queue.py;50_项目产出/P03_AI_Workload_Platform/p03_service/app/worker_service.py;50_项目产出/P03_AI_Workload_Platform/p03_service/tests/test_redis_queue.py","2026-07-18"
"W0-008","completed","M06、E06 与 P03 已统一 outbox 状态先行、错误分类、owner/version/lease 转换和授权缓存维度契约。","10_学习模块/M06_数据库缓存与异步任务/M06_数据库缓存与异步任务_适配教材.md;40_实验练习/E06_数据库异步任务实验/E06-02 文档解析与 RAG 请求异步化.md;40_实验练习/E06_数据库异步任务实验/E06-03 embedding 与检索结果缓存实验.md;50_项目产出/P03_AI_Workload_Platform/p03_service/tests/test_workflow.py","2026-07-18"
"W0-009","completed","发布范围已降级为推理 workload 与指标导论；合成 simulator、真实 vLLM 和 Triton 三者的证据边界明确。","10_学习模块/M10_AI推理系统_vLLM_Triton/M10_AI推理系统_vLLM_Triton_适配教材.md;10_学习模块/M10_AI推理系统_vLLM_Triton/M10_AI推理系统_vLLM_Triton_学习地图.md;40_实验练习/E10_推理服务实验/E10_推理服务实验_索引.md","2026-07-18"
"W0-010","completed","20 项路线承诺已逐项映射到首次教学位置、内容类型、证据、发布声明和缺口动作；design-note 不计作当前覆盖。","00_路线总控/审计与整改/13_路线承诺与首次教学覆盖矩阵.csv","2026-07-18"
