"task_id","workstream","module","chapter","current_strength","knowledge_gap","explanation_gap","target_engineering_level","target_research_level","target_finance_level","action","priority","prerequisites","expected_artifact","acceptance","canonical_sources","status"
"W0-001","状态与结论","P01","Worker 数量与综合实验记录","固定 fixture 有可复算数值","单次结果不足以支持统计显著性","用显著措辞制造外推错觉","E1","R1","不适用","小修全文同类表述并绑定证据范围","P0","无","措辞检索清单;修订后的实验记录;README 与简历同步差异","全库不再把单次 fixture 写成显著;多 seed 结论只引用 RQ01 对应区间","https://www.itl.nist.gov/div898/handbook/","completed"
"W0-002","状态与结论","金融路线","完成声明与状态表","路线结构和入口齐全","F00/F01/F03/F04/F06 仍为 draft/unverified","结构完成被写成可自学性合格","不适用","不适用","F0-F2","重写完成口径并分轴记录状态","P0","W0-003","路线状态对照表;修订后的金融路线声明","路线声明与状态表逐模块一致;不再由结构齐备推出内容合格","https://developers.google.com/tech-writing/one/documents","completed"
"W0-003","状态与结论","全库","状态模型","已有 content/implementation/verification 三列","缺 instructional-ready 与 learner-validated 独立轴","reference 通过容易被误读为教材或学习者完成","不适用","不适用","不适用","新增状态词典并迁移看板","P0","无","状态词典;迁移后的状态表;冲突检查规则","content-reviewed;reference-verified;instructional-ready;learner-validated 可独立判定且无隐含升级","https://kubernetes.io/docs/contribute/style/page-content-types/","completed"
"W0-004","安全","M03/E03/P03","M03 第 7-8 章及 RAG 请求","已认识检索前过滤原则","客户端仍可在教材请求中自报 user_id 和 permission_group","内存列表过滤不能证明存储检索阶段强制 ACL","E2","不适用","不适用","重写身份与检索授权契约","P0","M02 principal 基础","server-owned principal schema;授权查询;负向安全测试","未授权文档不进入候选集;打分集;缓存或 prompt;请求体不能覆盖 principal","https://owasp.org/www-project-top-10-for-large-language-model-applications/;https://owasp.org/API-Security/","completed"
"W0-005","安全","M04/E04","M04 第 6/9 章;E04-01/E04-03","审批设计包含 principal;哈希;CAS 与 outbox","实验仍接受客户端身份;权限和 reviewer_id;拒绝状态冲突","强设计与弱实验会教出两套安全模型","E2","不适用","不适用","统一身份;审批对象;状态和错误码","P0","W0-004","E04 契约表;状态机;审批负向测试","审批人仅来自 principal;过期或重复审批被拒;教材与实验状态完全一致","https://owasp.org/API-Security/;https://www.nist.gov/itl/ai-risk-management-framework","completed"
"W0-006","可靠性","M06/E06","SQLite reference complete_task/fail_task","已有 lease;heartbeat 与 CAS","finalize 不校验 owner;claim version 或 fencing token","正文未追踪旧 worker 如何覆盖新 worker 结果","E2","不适用","不适用","修复实现并补 stale-owner 教学反例","P0","数据库事务与 CAS 基础","fencing token 设计;迁移;旧 owner complete/fail 测试","lease 过期重领后旧 worker 的 complete/fail 均失败;重复 finalize 幂等或明确拒绝","https://www.postgresql.org/docs/current/transaction-iso.html","completed"
"W0-007","可靠性","P03/M06/E07","Redis queue 与 worker claim","已有 outbox 和 running lease reconciliation","BLPOP 在 DB claim 前破坏性删除消息","教材未画出 pop 后 claim 前崩溃窗口","E2","不适用","不适用","改为可恢复领取并补 crash-point 测试","P0","W0-006","Redis Streams 或 processing-list 实现;消息状态图;故障测试","pop 后任意 crash point 均不丢任务;重复交付由幂等处理;至少一次声明与证据一致","https://redis.io/docs/latest/develop/data-types/streams/;https://www.rabbitmq.com/docs/reliability","completed"
"W0-008","正确性","M06/E06","E06-02/E06-03","正文已有较强 outbox 与权限缓存原则","publish/state 顺序;collection_not_found 重试分类和权限缓存输入互相冲突","实验步骤掩盖了原子边界和授权快照来源","E2","不适用","不适用","重写实验契约与故障表","P0","W0-004;W0-007","统一时序图;失败分类表;缓存 key 负向测试","正文;E06;P03 对状态顺序和重试分类唯一;客户端不能改变授权缓存维度","https://microservices.io/patterns/data/transactional-outbox.html;https://owasp.org/API-Security/","completed"
"W0-009","发布范围","M10/E10","模块入口;第 6/8 章;E10-01 至 E10-03","指标和 KV 数学较强;合成 simulator 可执行","真实 vLLM blocked;无 Triton 实验","模块名容易把工具定位和模拟实验误读为 serving 工程能力","E1 或 E2","不适用","不适用","完成真实实验或降级模块名称与章节类型","P0","独立 Linux/WSL;GPU;模型与磁盘预算","范围决策记录;修订入口;真实 benchmark 或 design-note 标签","标题;目标;实验和状态证据一致;无 GPU 合成结果不表述为 vLLM/Triton 工程验证","https://docs.vllm.ai/;https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/","completed"
"W0-010","路线对齐","全库","路线承诺与首次教学覆盖","22 份入口已标内容类型","CAPM;Markowitz;statsmodels;收益率曲线;分布式系统等承诺高于正文","路线关键词没有指向承担首次教学的章节","不适用","不适用","不适用","建立 promise-to-chapter 映射并收缩无证据承诺","P0","W0-003","路线承诺矩阵;断链报告","每个必学关键词指向 instructional 章和验收;design-note 不计首次覆盖","https://docs.github.com/en/contributing/style-guide-and-content-model","completed"
"PED-001","教学一致性","全库","所有 instructional 章","章节类型已归类","大量围栏角色不明;M05 有 509 个未标围栏","读者无法区分可运行程序;片段;输出和伪代码","不适用","不适用","不适用","批量人工标注围栏角色并补运行上下文","P1","Wave 0 契约稳定","围栏角色清单;校验器规则;迁移记录","新增和高风险既有围栏均标 runnable/fragment/pseudocode/config/command/output/expected-error","https://developers.google.com/style/code-samples","planned"
"PED-002","教学一致性","M04/M05/M08/M10","练习与答案","存在较多完整参考实现","答案紧贴题面;独立练习退化为阅读答案","缺少未见输入和最小提示层","不适用","不适用","不适用","分离 worked example;独立练习与答案册","P1","模块契约稳定","独立题面;提示;答案册;答案映射","正文不暴露独立任务完整答案;练习至少改变输入或约束;验收可机器或人工判定","https://docs.github.com/en/contributing/style-guide-and-content-model/tutorial-content-type","planned"
"PED-003","教学一致性","全库","高风险教学章","模块末尾已有来源索引","166 个教学章仅 51 个显式章内来源","安全;统计;版本和金融公式缺 claim-source 近邻映射","不适用","不适用","不适用","补章内 canonical source 与版本边界","P1","无","claim-source 台账;章内来源区块","P0/P1 技术主张均可追溯到原始标准;官方文档或原始论文;聚合博客不作唯一依据","https://kubernetes.io/docs/contribute/style/content-guide/","planned"
"PED-004","教学一致性","全库","worked example","78 个教学章已有显式示例","多数表格和架构描述缺端到端固定输入","只给最终代码或字段表;不展示中间状态和判断过程","不适用","不适用","不适用","为核心主章补完整推演","P1","Wave 0 后","固定输入;中间状态;实际输出;解释;反例","核心决策章至少一条可复算 walkthrough;输出与解释分开;不使用未声明数据","https://developers.google.com/tech-writing/two/sample-code","planned"
