task_type,task_count,average_wait_time,max_wait_time,p95_wait_time,average_turnaround_time,experiment
batch_heavy,5.0,94.8,104.4,104.4,100.8,duration_dominant
cheap_medium,5.0,9.599999999999996,13.199999999999996,13.199999999999996,12.599999999999996,duration_dominant
long_low_token,5.0,59.4,73.0,73.0,67.4,duration_dominant
low_priority_short,5.0,0.3999999999999986,0.40000000000000036,0.40000000000000036,1.5999999999999979,duration_dominant
short_high_token,5.0,32.4,40.8,40.8,33.4,duration_dominant
urgent_medium,5.0,27.2,32.8,32.8,31.2,duration_dominant
batch_heavy,5.0,90.8,100.4,100.4,96.8,token_dominant
cheap_medium,5.0,9.599999999999996,13.199999999999996,13.199999999999996,12.599999999999996,token_dominant
long_low_token,5.0,35.4,49.0,49.0,43.4,token_dominant
low_priority_short,5.0,0.3999999999999986,0.40000000000000036,0.40000000000000036,1.5999999999999979,token_dominant
short_high_token,5.0,88.4,110.8,110.8,89.4,token_dominant
urgent_medium,5.0,67.2,72.8,72.8,71.2,token_dominant
batch_heavy,5.0,94.80000000000001,104.4,104.4,100.80000000000001,priority_dominant
cheap_medium,5.0,23.6,27.2,27.2,26.6,priority_dominant
long_low_token,5.0,55.40000000000001,69.00000000000001,69.00000000000001,63.40000000000001,priority_dominant
low_priority_short,5.0,35.400000000000006,35.40000000000001,35.40000000000001,36.60000000000001,priority_dominant
short_high_token,5.0,64.4,80.80000000000001,80.80000000000001,65.4,priority_dominant
urgent_medium,5.0,6.2,11.8,11.8,10.2,priority_dominant
