document,source_file,chapter,start_line,end_line,declared_content_type,candidate_content_type,candidate_content_type_source,candidate_official_profile,heading_context,heading_prerequisites,heading_procedure,heading_expected_result,heading_troubleshooting,heading_cleanup,heading_summary,heading_next_steps,role_objectives,role_examples,role_counterexamples,role_practice,role_acceptance,role_sources,numbered_step_count,stateful_candidate,code_fence_count,tagged_code_fence_count,untagged_code_fence_count,review_flags
10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,第 1 章：金融市场在做什么,123,169,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,False,True,False,False,False,True,False,True,True,False,False,0,False,1,0,1,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_examples;candidate_missing_explicit_acceptance;candidate_missing_explicit_sources
10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,第 2 章：资产类别和数据字段,170,273,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,False,False,False,True,False,0,False,1,0,1,candidate_missing_explicit_examples;candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,第 3 章：价格、收益率和风险,274,357,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,False,True,False,False,False,True,True,True,True,False,False,0,False,5,0,5,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_acceptance;candidate_missing_explicit_sources
10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,第 4 章：利率、期限和信用风险,358,528,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,False,False,False,False,True,True,True,True,True,True,8,False,8,0,8,candidate_missing_explicit_prerequisites
10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,第 5 章：金融数据来源和数据口径,529,676,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,False,False,False,False,True,True,True,True,True,True,2,False,4,0,4,candidate_missing_explicit_prerequisites
10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,10_学习模块\F00_金融市场与资产基础\F00_金融市场与资产基础_适配教材.md,第 6 章：F00 如何连接 F02、F03、M12 和 P03,677,730,design-note,design-note,explicit_local_metadata,design-note,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,False,4,0,4,
10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,第 1 章：为什么金融工程需要概率统计,120,232,instructional,instructional,explicit_local_metadata,tutorial-like,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,False,3,1,2,
10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,第 2 章：随机变量、样本、均值和估计误差,233,325,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,True,False,False,False,True,True,True,False,True,False,0,False,6,0,6,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,第 3 章：收益率分布、极端值和正态近似,326,410,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,True,False,False,False,True,True,True,False,True,False,0,False,3,0,3,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,第 4 章：分位数、置信水平和 VaR,411,587,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,True,False,False,False,True,True,True,True,True,True,4,False,10,1,9,candidate_missing_explicit_prerequisites
10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,第 5 章：协方差和相关性,588,680,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,True,False,False,False,True,True,True,False,True,False,0,False,4,0,4,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,第 6 章：协方差矩阵和组合风险,681,826,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,True,False,False,False,True,True,True,True,True,True,7,False,8,1,7,candidate_missing_explicit_prerequisites
10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,第 7 章：最小 Python 统计流程,827,896,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,True,False,False,True,False,0,False,3,0,3,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,10_学习模块\F01_概率统计与数学基础\F01_概率统计与数学基础_适配教材.md,第 8 章：把 F01 接到 GF 实验和 P03,897,965,design-note,design-note,explicit_local_metadata,design-note,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0,False,3,0,3,
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 1 章：为什么金融时间序列不能当普通表格处理,120,247,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,True,False,False,False,True,True,True,True,True,False,7,False,3,0,3,candidate_missing_explicit_prerequisites;candidate_missing_explicit_sources
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 2 章：DatetimeIndex、频率和交易日,248,350,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,False,True,False,False,False,True,True,True,True,False,True,4,False,5,0,5,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_acceptance
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 2.5 章：时区、DST 和 market session date,351,481,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,False,False,False,False,False,True,False,False,True,False,True,4,False,4,0,4,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_examples;candidate_missing_explicit_acceptance
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 3 章：缺失值、重复值和字段对齐,482,590,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,True,False,False,False,True,True,True,True,True,False,4,False,3,0,3,candidate_missing_explicit_prerequisites;candidate_missing_explicit_sources
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 4 章：收益率和对数收益率,591,690,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,True,False,False,False,True,True,True,True,True,False,4,False,5,0,5,candidate_missing_explicit_prerequisites;candidate_missing_explicit_sources
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 4.5 章：跨资产收益口径与周月聚合,691,843,instructional,instructional,explicit_local_metadata,tutorial-like,False,False,True,False,False,False,False,False,False,False,False,True,False,True,4,False,3,0,3,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_objectives;candidate_missing_explicit_examples;candidate_missing_explicit_acceptance
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 5 章：rolling window 和滚动波动率,844,944,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,False,True,False,False,False,True,True,True,True,False,True,0,False,6,0,6,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_acceptance
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 6 章：drawdown 和 max drawdown,945,1040,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,True,False,False,False,True,True,True,True,True,False,0,False,6,0,6,candidate_missing_explicit_prerequisites;candidate_missing_explicit_sources
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 7 章：数据版本、point-in-time 和 lineage,1041,1233,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,True,True,False,False,False,True,False,True,True,True,True,5,False,6,0,6,candidate_missing_explicit_prerequisites;candidate_missing_explicit_examples
10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,10_学习模块\F02_Python金融数据与时间序列\F02_Python金融数据与时间序列_适配教材.md,第 8 章：把 F02 输出接到 Q01 和 P03,1234,1325,design-note,design-note,explicit_local_metadata,design-note,True,False,False,True,True,False,False,False,True,False,True,False,True,False,0,False,3,0,3,
10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,第 1 章：风险指标不是投资结论,118,182,instructional,instructional,explicit_local_metadata,tutorial-like,True,False,True,False,True,False,False,False,True,False,True,True,False,False,0,False,4,0,4,candidate_missing_explicit_prerequisites;candidate_missing_expected_result;candidate_missing_explicit_examples;candidate_missing_explicit_acceptance;candidate_missing_explicit_sources
10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,第 2 章：单资产风险指标,183,274,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,True,False,False,True,False,0,False,6,0,6,candidate_missing_explicit_practice;candidate_missing_explicit_sources
10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,10_学习模块\F03_投资组合与风险管理\F03_投资组合与风险管理_适配教材.md,第 3 章：组合权重和组合收益,275,360,instructional,instructional,explicit_local_metadata,concept-like,True,False,False,True,False,False,False,False,True,True,False,False,True,False,0,False,5,1,4,candidate_missing_explicit_practice;candidate_missing_explicit_sources
