"file","area","review_state","content_status","implementation_status","verification_status","ownership","instructional_readiness","learner_validation","risk","learning_blocker","action","reason","dependency","acceptance"
".gitignore",".gitignore","rule-reviewed","content-reviewed","not-applicable","verified","reference","not-assessed","not-evaluated","low","否","保留","公开入口、发布边界和忽略规则已与现行验证证据对齐","","保持文档、代码、测试和状态一致"
".gitleaks.toml",".gitleaks.toml","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\6-12个月科研工程路线.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\Agent代码Rubric试标题目分析与学习映射.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\AI输出质量评测能力线_系统重构方案.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\多路线学习库结构规范.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\顾琳老师方向适配路线.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\基础薄弱版12周执行路线.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\金融工程_AI计算机高结合领域与岗位能力地图.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
"00_路线总控\金融工程高质量资料与路线审计.md","00_路线总控","unreviewed","unassessed","unassessed","unassessed","unassessed","not-assessed","not-evaluated","unknown","unknown","人工复核","仅完成文件覆盖盘点，尚无逐文件人工成熟度结论","","人工核对内容、实现、证据、教学就绪度与风险后再赋值"
